"","distrito","afiliados","abonados","objetivos","transferencia","transferencia_promedio","omitidos"
"1","ASUNCION",25,20,41,4700,235,5
"2","BALSAS",106,103,212,24900,241.747572815534,3
"3","CHETO",50,51,81,10400,203.921568627451,-1
"4","CHILIQUIN",72,70,111,16300,232.857142857143,2
"5","CHUQUIBAMBA",220,207,440,42899.64,207.244637681159,13
"6","GRANADA",21,20,38,4000,200,1
"7","HUANCAS",25,23,45,5000,217.391304347826,2
"8","LA JALCA",657,649,1413,138400,213.251155624037,8
"9","LEIMEBAMBA",324,315,605,66499.74,211.110285714286,9
"10","LEVANTO",74,56,125,11800,210.714285714286,18
"11","MAGDALENA",73,66,137,14000,212.121212121212,7
"12","MARISCAL CASTILLA",72,75,129,17100,228,-3
"13","MOLINOPAMPA",211,195,380,40500,207.692307692308,16
"14","MONTEVIDEO",36,37,76,7400,200,-1
"15","OLLEROS",33,37,47,7300,197.297297297297,-4
"16","QUINJALCA",103,103,173,21400,207.766990291262,0
"17","SAN FCO. DE DAGUAS",5,6,11,1200,200,-1
"18","SAN ISIDRO DE MAINO",47,47,88,9400,200,0
"19","SOLOCO",120,120,203,23700,197.5,0
"20","SONCHE",20,17,41,4300,252.941176470588,3
